토질/암질/굴착심도/EL CAD 문자 검토
============================================================================================================================================

============================================================================================================================================
FILE: C-610 굴착계획 단면도 (5).dxf
hit count: 36

y=3053383.6 | x=-14958572.9 | layer=Layer | text=퇴적층
y=3052744.8 | x=-14914201.2 | layer=-$$굴착심도 | text=EL(+)33.24
y=3051651.6 | x=-14927444.4 | layer=Layer | text=풍화토
y=3051633.6 | x=-14958572.9 | layer=Layer | text=풍화토
y=3050133.6 | x=-14958572.9 | layer=Layer | text=풍화암
y=3049651.6 | x=-14927444.4 | layer=Layer | text=풍화암
y=3042323.3 | x=-14966125.5 | layer=-$$TEXT | text=시공하한선 : EL(+)31.00m
y=3041862.8 | x=-14985289.6 | layer=-$$TEXT | text=시공하한선 : EL(+)31.00m
y=3033392.0 | x=-14998707.4 | layer=C-NOTE | text=1. 본 설계는 대표 주상도를 기준으로여 설계하였으므로, 시험천공에 따른 지층조건이 상이 할 경우 재검토를 실시하여야 한다.
y=3032392.0 | x=-14998707.4 | layer=C-NOTE | text=2. 착공 전에 대지경계선, 지하층 구조물선, 지반고 등에 대해 현황측량을 반드시 실시하여 설계도면과의 상이점을 검토 후 착공하여야 한다.
y=3032392.0 | x=-14957449.3 | layer=C-NOTE | text=11. 굴착시 계측을 통하여 공사중 배면지반 및 흙막이 벽체의 과도한 변형조짐이 예상 될 경우 즉시 공사를 중단하고 되메우기 또는 보강
y=3029392.0 | x=-14998707.4 | layer=C-NOTE | text=4. 흙막이벽체의 근입깊이는 최소설계 근입깊이를 확보하여야 하며, 지지층에 확실하게 설치될 수 있도록 관리하여야 한다.
y=3026392.0 | x=-14957449.3 | layer=C-NOTE | text=14. 흙막이 벽체 천공시 천공기록을 전개도상에 표기하여 설계에 반영된 지층조건과의 비교를 통해 토목계획의 적정성을 확인하여야 한다.


============================================================================================================================================
FILE: C-615 굴착계획 전개도 (4).dxf
hit count: 32

y=3097095.5 | x=-14866134.3 | layer=-$$범례TEXT | text=■ 주상도 범례
y=3093509.6 | x=-14865722.6 | layer=C-NOTE | text=실트질모래
y=3092253.4 | x=-14865722.6 | layer=C-NOTE | text=점토질모래
y=3091047.0 | x=-14865067.3 | layer=C-NOTE | text=풍화토
y=3089820.2 | x=-14865060.4 | layer=C-NOTE | text=풍화암
y=3060504.7 | x=-14858443.7 | layer=-$$굴착심도 | text=EL(+)41.00
y=3060504.7 | x=-14818541.6 | layer=-$$굴착심도 | text=EL(+)41.00
y=3058524.2 | x=-14858007.1 | layer=주상도 | text=EL(+)39.46m
y=3058524.2 | x=-14830442.3 | layer=주상도 | text=EL(+)39.46m
y=3058429.8 | x=-14853315.3 | layer=주상도 | text=EL.(+) 38.897
y=3058007.8 | x=-14825750.6 | layer=주상도 | text=EL.(+) 38.475
y=3057777.6 | x=-14854635.0 | layer=Layer | text=매립층
y=3057405.6 | x=-14827070.2 | layer=Layer | text=매립층
y=3057077.6 | x=-14854635.0 | layer=Layer | text=퇴적층
y=3056755.6 | x=-14827070.2 | layer=Layer | text=퇴적층
y=3056227.6 | x=-14854635.0 | layer=Layer | text=퇴적층
y=3054605.6 | x=-14827070.2 | layer=Layer | text=퇴적층
y=3054594.8 | x=-14846951.8 | layer=-$$굴착심도 | text=EL(+)35.09
y=3054544.8 | x=-14858443.8 | layer=-$$굴착심도 | text=EL(+)35.04
y=3054544.8 | x=-14818541.7 | layer=-$$굴착심도 | text=EL(+)35.04
y=3054177.6 | x=-14854635.0 | layer=Layer | text=퇴적층
y=3052744.8 | x=-14858443.8 | layer=-$$굴착심도 | text=EL(+)33.24
y=3052744.8 | x=-14818541.7 | layer=-$$굴착심도 | text=EL(+)33.24
y=3051755.6 | x=-14827070.2 | layer=Layer | text=풍화토
y=3049755.6 | x=-14827070.2 | layer=Layer | text=풍화암
y=3042323.3 | x=-14812073.2 | layer=-$$TEXT | text=시공하한선 : EL(+)31.00m
y=3041863.4 | x=-14825332.8 | layer=-$$TEXT | text=시공하한선 : EL(+)31.00m
y=3033392.0 | x=-14872557.4 | layer=C-NOTE | text=1. 본 설계는 대표 주상도를 기준으로여 설계하였으므로, 시험천공에 따른 지층조건이 상이 할 경우 재검토를 실시하여야 한다.
y=3032392.0 | x=-14872557.4 | layer=C-NOTE | text=2. 착공 전에 대지경계선, 지하층 구조물선, 지반고 등에 대해 현황측량을 반드시 실시하여 설계도면과의 상이점을 검토 후 착공하여야 한다.
y=3032392.0 | x=-14831299.3 | layer=C-NOTE | text=11. 굴착시 계측을 통하여 공사중 배면지반 및 흙막이 벽체의 과도한 변형조짐이 예상 될 경우 즉시 공사를 중단하고 되메우기 또는 보강
y=3029392.0 | x=-14872557.4 | layer=C-NOTE | text=4. 흙막이벽체의 근입깊이는 최소설계 근입깊이를 확보하여야 하며, 지지층에 확실하게 설치될 수 있도록 관리하여야 한다.
y=3026392.0 | x=-14831299.3 | layer=C-NOTE | text=14. 흙막이 벽체 천공시 천공기록을 전개도상에 표기하여 설계에 반영된 지층조건과의 비교를 통해 토목계획의 적정성을 확인하여야 한다.


============================================================================================================================================
